"year"	"value"	"month"
"2"	1895	0.55	1
"3"	1896	-0.33	1
"4"	1897	1.23	1
"5"	1898	-0.75	1
"6"	1899	-1.59	1
"7"	1900	0.1	1
"8"	1901	0.21	1
"9"	1902	-0.99	1
"10"	1903	0.03	1
"11"	1904	-1.78	1
"12"	1905	-0.08	1
"13"	1906	-0.13	1
"14"	1907	2.24	1
"15"	1908	0.83	1
"16"	1909	0.42	1
"17"	1910	0.89	1
"18"	1911	-0.76	1
"19"	1912	-1.72	1
"20"	1913	-0.45	1
"21"	1914	1.28	1
"22"	1915	0.08	1
"23"	1916	1.29	1
"24"	1917	0.29	1
"25"	1918	-2.52	1
"26"	1919	-0.87	1
"27"	1920	-1.53	1
"28"	1921	0.96	1
"29"	1922	0.31	1
"30"	1923	0.49	1
"31"	1924	-1.32	1
"32"	1925	-2.38	1
"33"	1926	-1.22	1
"34"	1927	-0.58	1
"35"	1928	-0.11	1
"36"	1929	-1.98	1
"37"	1930	-2.36	1
"38"	1931	-2.33	1
"39"	1932	-0.53	1
"40"	1933	-1.24	1
"41"	1934	-2.16	1
"42"	1935	-1.43	1
"43"	1936	-1.33	1
"44"	1937	-0.79	1
"45"	1938	-0.54	1
"46"	1939	-0.43	1
"47"	1940	-1.36	1
"48"	1941	0.11	1
"49"	1942	2.2	1
"50"	1943	0.5	1
"51"	1944	-1.03	1
"52"	1945	-0.54	1
"53"	1946	0.25	1
"54"	1947	-0.84	1
"55"	1948	-2.18	1
"56"	1949	-0.87	1
"57"	1950	-2.17	1
"58"	1951	-0.45	1
"59"	1952	0.77	1
"60"	1953	0.13	1
"61"	1954	-1.02	1
"62"	1955	-1.21	1
"63"	1956	0.27	1
"64"	1957	-1.79	1
"65"	1958	-0.05	1
"66"	1959	-1.36	1
"67"	1960	-2.93	1
"68"	1961	-2.36	1
"69"	1962	-2.07	1
"70"	1963	-1.06	1
"71"	1964	0.37	1
"72"	1965	-0.29	1
"73"	1966	0.79	1
"74"	1967	-0.33	1
"75"	1968	-0.26	1
"76"	1969	0.61	1
