"year"	"value"	"month"
1895	0.55	1
1896	-0.33	1
1897	1.23	1
1898	-0.75	1
1899	-1.59	1
1900	0.1	1
1901	0.21	1
1902	-0.99	1
1903	0.03	1
1904	-1.78	1
1905	-0.08	1
1906	-0.13	1
1907	2.24	1
1908	0.83	1
1909	0.42	1
1910	0.89	1
1911	-0.76	1
1912	-1.72	1
1913	-0.45	1
1914	1.28	1
1915	0.08	1
1916	1.29	1
1917	0.29	1
1918	-2.52	1
1919	-0.87	1
1920	-1.53	1
1921	0.96	1
1922	0.31	1
1923	0.49	1
1924	-1.32	1
1925	-2.38	1
1926	-1.22	1
1927	-0.58	1
1928	-0.11	1
1929	-1.98	1
1930	-2.36	1
1931	-2.33	1
1932	-0.53	1
1933	-1.24	1
1934	-2.16	1
1935	-1.43	1
1936	-1.33	1
1937	-0.79	1
1938	-0.54	1
1939	-0.43	1
1940	-1.36	1
1941	0.11	1
1942	2.2	1
1943	0.5	1
1944	-1.03	1
1945	-0.54	1
1946	0.25	1
1947	-0.84	1
1948	-2.18	1
1949	-0.87	1
1950	-2.17	1
1951	-0.45	1
1952	0.77	1
1953	0.13	1
1954	-1.02	1
1955	-1.21	1
1956	0.27	1
1957	-1.79	1
1958	-0.05	1
1959	-1.36	1
1960	-2.93	1
1961	-2.36	1
1962	-2.07	1
1963	-1.06	1
1964	0.37	1
1965	-0.29	1
1966	0.79	1
1967	-0.33	1
1968	-0.26	1
1969	0.61	1
1970	-0.22	1
1971	-0.5	1
1972	-0.8	1
1973	-0.04	1
1974	0.82	1
1975	-1.56	1
1976	-2.04	1
1977	-2	1
1978	-0.62	1
1979	0.76	1
1980	0.65	1
1981	-1.64	1
1982	0.01	1
1983	3.09	1
1984	4.33	1
1985	1.53	1
1986	-1.05	1
1987	-1.43	1
1988	-1.47	1
1989	-2	1
1990	-2.41	1
1991	-3.04	1
1992	-1.94	1
1993	0.22	1
1994	-1.39	1
1995	0.42	1
1996	-0.47	1
1997	1.25	1
1998	-0.34	1
1999	1.97	1
2000	-1.88	1
2001	-1.89	1
2002	-1.89	1
2003	-2.64	1
2004	-1.82	1
2005	0.43	1
2006	0.76	1
2007	-2.29	1
2008	-2.3	1
2009	-3.15	1
2010	-1.69	1
2011	1.11	1
2012	-0.52	1
2013	-1.58	1
2014	-3.9	1
1895	-0.1	2
1896	-1.21	2
1897	1.57	2
1898	-1.08	2
1899	-1.93	2
1900	-0.59	2
1901	0.8	2
1902	-0.48	2
1903	-0.27	2
1904	-1.1	2
1905	0.35	2
1906	-0.09	2
1907	1.97	2
1908	0.79	2
1909	1.17	2
1910	0.36	2
1911	-0.53	2
1912	-2.4	2
1913	-0.78	2
1914	1.4	2
1915	0.92	2
1916	1	2
1917	0.41	2
1918	-2.19	2
1919	-0.41	2
1920	-1.56	2
1921	0.42	2
1922	0.7	2
1923	-0.29	2
1924	-2.09	2
1925	-2.28	2
1926	-1.22	2
1927	0.39	2
1928	-0.47	2
1929	-2.19	2
1930	-2.45	2
1931	-2.25	2
1932	-0.13	2
1933	-1.69	2
1934	-2.34	2
1935	-1.4	2
1936	-0.42	2
1937	-0.16	2
1938	0.35	2
1939	-0.72	2
1940	-0.66	2
1941	0.94	2
1942	1.9	2
1943	0.24	2
1944	-0.43	2
1945	-0.2	2
1946	-0.21	2
1947	-1.55	2
1948	-2.42	2
1949	-1.01	2
1950	-2.31	2
1951	-0.73	2
1952	0.44	2
1953	-0.89	2
1954	-1.27	2
1955	-1.49	2
1956	0.08	2
1957	-1.9	2
1958	0.62	2
1959	-1.12	2
1960	-2.53	2
1961	-2.69	2
1962	-1.17	2
1963	-1.06	2
1964	-0.81	2
1965	-1.02	2
1966	0.41	2
1967	-1.07	2
1968	-0.95	2
1969	1.54	2
1970	-0.81	2
1971	-1.33	2
1972	-1.31	2
1973	0.51	2
1974	0.19	2
1975	-1.34	2
1976	-1.93	2
1977	-2.9	2
1978	0.29	2
1979	0.98	2
1980	1.6	2
1981	-2.05	2
1982	-0.16	2
1983	3.39	2
1984	3.43	2
1985	1.01	2
1986	0.04	2
1987	-1.63	2
1988	-1.96	2
1989	-2.24	2
1990	-2.51	2
1991	-3.51	2
1992	-1.31	2
1993	1.05	2
1994	-1.32	2
1995	-0.09	2
1996	-0.15	2
1997	0.47	2
1998	1.65	2
1999	1.57	2
2000	-1.33	2
2001	-1.58	2
2002	-2.41	2
2003	-2.54	2
2004	-1.27	2
2005	0.74	2
2006	0	2
2007	-2.37	2
2008	-2.18	2
2009	-2.79	2
2010	-1.43	2
2011	1.08	2
2012	-1.57	2
2013	-2.22	2
2014	-4.13	2
1895	-0.21	3
1896	-1.12	3
1897	1.87	3
1898	-1.48	3
1899	-1.36	3
1900	-1.07	3
1901	0.2	3
1902	-0.29	3
1903	0.32	3
1904	-0.09	3
1905	1.04	3
1906	1.24	3
1907	2.89	3
1908	-0.02	3
1909	1.18	3
1910	-0.21	3
1911	0.03	3
1912	-1.9	3
1913	-1.12	3
1914	0.5	3
1915	0.46	3
1916	0.75	3
1917	-0.03	3
1918	-1.52	3
1919	-0.22	3
1920	-0.98	3
1921	-0.08	3
1922	0.82	3
1923	-1.19	3
1924	-2.18	3
1925	-2.44	3
1926	-2.14	3
1927	0.26	3
1928	-0.44	3
1929	-2.34	3
1930	-2.3	3
1931	-2.6	3
1932	-0.64	3
1933	-1.8	3
1934	-3.21	3
1935	-0.94	3
1936	-0.98	3
1937	0.4	3
1938	1.69	3
1939	-0.74	3
1940	-0.81	3
1941	1.35	3
1942	1.26	3
1943	0.49	3
1944	-0.61	3
1945	0.19	3
1946	-0.44	3
1947	-1.86	3
1948	-2.14	3
1949	-0.64	3
1950	-2.33	3
1951	-1.3	3
1952	1.07	3
