"year" "N" "mean" "sd" "se" "min" "max" "med"
1895 12 -0.175 0.350804270731752 0.101268470069924 -0.85 0.55 -0.19
1896 12 0.331666666666667 0.827854108066406 0.238980896070938 -1.21 1.23 0.58
1897 12 0.675 0.717806000633496 0.207212743845839 -0.41 1.87 0.495
1898 12 -1.5025 0.33957526947109 0.0980269366196369 -2.09 -0.75 -1.545
1899 12 -0.925833333333333 0.842360949769735 0.243168660552193 -1.93 0.57 -1.15
1900 12 -0.506666666666667 0.442602496261566 0.127768335180308 -1.07 0.4 -0.7
1901 12 0.374166666666667 0.283499505637964 0.081839257947602 -0.27 0.8 0.39
1902 12 -0.333333333333333 0.283174643617466 0.0817454783601101 -0.99 0.01 -0.27
1903 12 -0.509166666666667 0.543782348393401 0.156976442612749 -1.39 0.32 -0.48
1904 12 -0.294166666666667 0.75146473132426 0.216929182458286 -1.78 0.9 -0.175
1905 12 0.718333333333333 0.626822192177383 0.180947980693822 -0.27 1.58 0.86
1906 12 1.66166666666667 1.0099579949261 0.2915497601204 -0.13 2.85 1.715
1907 12 2.17 0.537333483720559 0.155114815735332 1 2.89 2.295
1908 12 -0.176666666666667 0.514292688745397 0.148463511144706 -0.79 0.83 -0.355
1909 12 0.209166666666667 0.605571981057929 0.174813573138745 -0.57 1.18 0.05
1910 12 -1.035 0.892784204813031 0.257724600488525 -1.74 0.89 -1.45
1911 12 -0.160833333333333 0.520863938494731 0.150360467550551 -1.21 0.46 0.065
1912 12 -0.5 1.07557172957202 0.310490813800578 -2.4 0.74 -0.215
1913 12 -0.5375 0.514518751314804 0.148528769787356 -1.23 0.2 -0.55
1914 12 0.359166666666667 0.569664308380316 0.164447920895549 -0.6 1.4 0.32
1915 12 0.83 0.776120890302301 0.224046802469863 -0.23 1.86 0.725
1916 12 0.458333333333333 0.383283264187286 0.110644347877204 0.03 1.29 0.35
1917 12 -0.305833333333333 0.812252293243169 0.234477040076917 -2.21 0.41 0.045
1918 12 -1.30833333333333 0.796741469798685 0.229999451031405 -2.52 -0.17 -1.575
1919 12 -0.864166666666667 0.339343171257045 0.097959935636458 -1.29 -0.22 -0.88
1920 12 -0.518333333333333 0.680665894992588 0.196491318851084 -1.56 0.63 -0.595
