"years","diff"
1981,114.420378282437
1982,285.767151276905
1983,562.552989333764
1984,-79.1878585177598
1985,-185.144853446411
1986,78.1935692497561
1987,-60.8135507957973
1988,-130.177852299237
1989,-175.850281371258
1990,-198.433479858982
1991,-73.005428736167
1992,16.9863459362201
1993,131.236464425404
1994,-123.689614496591
1995,355.725888453416
1996,281.348798366721
1997,-22.4093814330571
1998,377.603346185019
1999,-88.756378181833
2000,4.28697650647314
2001,19.9165251780772
2002,-87.323592142902
2003,-5.54845053040538
2004,-19.5780427733109
2005,199.191199675232
2006,76.2830985932844
2007,-207.634554085925
2008,-111.740473328108
2009,-114.657065029675
2010,248.473755345046
2011,-71.661146509261
2012,65.0071377639183
2013,-377.562355228541
