location,year,reservoirs,storage_june,capacity,hist_avg
instate,1976,154,19385.7,37470.9,28832.1
instate,1977,154,11636.8,37470.9,28832.1
instate,1978,,,,28832.1
instate,1979,,,,28832.1
instate,1980,,,,28832.1
instate,1981,,,,28832.1
instate,1982,154,33539.3,37470.9,28832.1
instate,1983,154,35578.9,37470.9,28832.1
instate,1984,,,,28832.1
instate,1985,154,26388.2,37470.9,28832.1
instate,1986,154,33635.6,37470.9,28832.1
instate,1987,,,,28832.1
instate,1988,,,,28832.1
instate,1989,,,,28832.1
instate,1990,,,,28832.1
instate,1991,,,,28832.1
instate,1992,,,,28832.1
instate,1993,155,31074,37660.9,28832.1
instate,1994,155,22715.6,37660.9,28832.1
instate,1995,155,34132.4,37660.9,28832.1
instate,1996,155,34005.5,37660.9,28832.1
instate,1997,155,29973.2,37660.9,28832.1
instate,1998,155,35863.8,37660.9,28832.1
instate,1999,156,32983.1,37765.7,28832.1
instate,2000,156,31804.2,37765.7,28832.1
instate,2001,152,25776.7,37614.8,28832.1
instate,2002,152,26339.6,37614.8,28832.1
instate,2003,151,30693.8,37595.1,28832.1
instate,2004,151,25772.1,37595.1,28832.1
instate,2005,151,33815.1,37590,28832.1
instate,2006,151,34813.7,37590,28832.1
instate,2007,151,25615.1,37590,28832.1
instate,2008,151,22315.2,37590,28832.1
instate,2009,154,24121.8,37732.4,28832.1
instate,2010,154,29963.3,37732.4,28832.1
instate,2011,154,34661.9,37841.6,28832.1
instate,2012,154,29068.7,37841.6,28832.1
instate,2013,154,23576.7,37841.6,28832.1
instate,2014,154,17253.2,37841.6,28832.1
