region,date,count,runoff_mm_d
ca,190301,81,0.94041
ca,190302,81,0.77356
ca,190303,81,1.42284
ca,190304,83,1.70482
ca,190305,83,1.21599
ca,190306,83,0.84921
ca,190307,83,0.35127
ca,190308,83,0.23218
ca,190309,83,0.20696
ca,190310,84,0.21853
ca,190311,84,0.8568
ca,190312,84,0.42243
ca,190401,89,0.3644
ca,190402,89,1.87309
ca,190403,89,2.86947
ca,190404,95,1.77019
ca,190405,95,1.77382
ca,190406,96,0.97108
ca,190407,96,0.42692
ca,190408,96,0.26134
ca,190409,96,0.26321
ca,190410,99,0.51628
ca,190411,99,0.28437
ca,190412,99,0.47025
ca,190501,97,1.0431
ca,190502,97,1.22154
ca,190503,98,1.71325
ca,190504,97,1.13204
ca,190505,98,1.21042
ca,190506,97,0.8491
ca,190507,97,0.31137
ca,190508,97,0.15657
ca,190509,98,0.1296
ca,190510,105,0.13883
ca,190511,105,0.15851
ca,190512,105,0.17666
ca,190601,107,1.34275
ca,190602,106,1.01558
ca,190603,107,3.48244
ca,190604,107,2.02611
ca,190605,107,2.18722
ca,190606,106,2.38434
ca,190607,106,1.55002
ca,190608,106,0.48933
ca,190609,106,0.26561
ca,190610,106,0.21279
ca,190611,107,0.23897
ca,190612,107,0.802
ca,190701,107,1.78951
ca,190702,107,2.41309
ca,190703,107,4.65431
ca,190704,103,2.8147
ca,190705,103,1.94719
ca,190706,103,1.67332
ca,190707,103,1.10347
ca,190708,103,0.421
ca,190709,103,0.2721
ca,190710,111,0.24393
ca,190711,111,0.24542
ca,190712,111,0.43884
ca,190801,111,0.78851
ca,190802,111,0.96903
ca,190803,111,0.85931
ca,190804,111,0.85402
ca,190805,111,0.79012
ca,190806,111,0.56317
ca,190807,110,0.31578
ca,190808,110,0.20809
ca,190809,110,0.16178
ca,190810,109,0.17411
ca,190811,109,0.18322
ca,190812,109,0.21544
ca,190901,110,3.63595
ca,190902,110,3.4397
ca,190903,111,1.59093
ca,190904,111,1.73043
ca,190905,111,1.70491
ca,190906,112,1.65708
ca,190907,112,0.71154
ca,190908,112,0.29059
ca,190909,112,0.21669
ca,190910,112,0.2126
ca,190911,112,0.54157
ca,190912,112,1.10061
ca,191001,112,1.81579
ca,191002,112,0.93137
ca,191003,112,1.51777
ca,191004,112,1.36592
ca,191005,112,1.07781
ca,191006,112,0.5458
ca,191007,110,0.27455
ca,191008,110,0.16974
ca,191009,110,0.17058
ca,191010,120,0.16467
ca,191011,120,0.22627
ca,191012,121,0.36104
ca,191101,123,1.86826
ca,191102,123,1.68376
ca,191103,123,3.10519
ca,191104,123,2.05002
ca,191105,123,1.71492
ca,191106,123,1.82979
ca,191107,121,0.88462
ca,191108,121,0.27192
ca,191109,122,0.1811
ca,191110,128,0.18323
ca,191111,128,0.20745
ca,191112,128,0.21719
ca,191201,129,0.83748
ca,191202,129,0.70063
ca,191203,129,0.83952
ca,191204,129,0.73949
ca,191205,130,1.14887
ca,191206,130,0.74382
ca,191207,130,0.22528
ca,191208,130,0.13562
ca,191209,130,0.15505
ca,191210,130,0.14581
ca,191211,130,0.66502
ca,191212,130,0.54408
ca,191301,130,1.03495
ca,191302,130,0.55255
ca,191303,130,0.53896
ca,191304,130,0.93637
ca,191305,130,0.8824
ca,191306,130,0.47154
ca,191307,130,0.21541
ca,191308,130,0.14691
ca,191309,130,0.12506
ca,191310,127,0.11689
ca,191311,127,0.23218
ca,191312,127,0.74929
ca,191401,126,3.8014
ca,191402,126,2.59656
ca,191403,126,1.62578
ca,191404,127,1.6703
ca,191405,127,1.5614
ca,191406,127,1.14847
ca,191407,127,0.53348
ca,191408,127,0.21581
ca,191409,127,0.15887
ca,191410,124,0.20744
ca,191411,123,0.19735
ca,191412,123,0.297
ca,191501,123,0.75458
ca,191502,123,2.70332
ca,191503,123,1.43495
ca,191504,123,1.54603
ca,191505,123,2.01289
ca,191506,123,1.32354
ca,191507,123,0.50194
ca,191508,123,0.18077
ca,191509,123,0.14253
ca,191510,123,0.14047
ca,191511,123,0.22867
ca,191512,123,0.59867
ca,191601,124,3.93653
ca,191602,124,2.43334
ca,191603,124,2.36925
ca,191604,124,1.69401
ca,191605,124,1.38701
ca,191606,124,1.03723
ca,191607,124,0.49802
ca,191608,124,0.22645
ca,191609,124,0.1788
ca,191610,127,0.23521
ca,191611,128,0.23701
ca,191612,127,0.51133
ca,191701,127,0.49681
ca,191702,128,1.57801
ca,191703,127,0.88977
ca,191704,128,1.31337
ca,191705,128,1.14804
ca,191706,128,1.02052
ca,191707,128,0.36169
ca,191708,128,0.16506
ca,191709,128,0.12858
ca,191710,128,0.12475
ca,191711,128,0.1504
ca,191712,128,0.23329
ca,191801,128,0.21256
ca,191802,128,0.60495
ca,191803,128,1.55087
ca,191804,128,0.84134
ca,191805,128,0.56531
ca,191806,128,0.49664
ca,191807,128,0.15888
ca,191808,128,0.10331
ca,191809,128,0.12019
ca,191810,122,0.18788
ca,191811,122,0.2032
ca,191812,122,0.25124
ca,191901,122,0.57399
ca,191902,123,1.32622
ca,191903,123,1.00162
ca,191904,123,1.07274
